Name,Team,Position,Age,Exp,Pick,ADP,Std-Dev,High,Lot,Times-Drafted
Carson Wentz,PHI,QB,27,3,7.09,81.4,9.9,4.09,9.1,277
Jared Goff,LAR,QB,25,3,11.05,125.2,10.1,6.1,13.07,323
Dak Prescott,DAL,QB,26,3,13.08,151.7,16.5,2.12,16.06,191
Ezekiel Elliott,DAL,RB,24,3,1.04,3.7,1.3,1.01,1.08,629
Derrick Henry,TEN,RB,25,3,3.01,24.5,3.9,1.12,3.12,459
Alex Collins,FA,RB,25,3,3.02,25.9,3.6,2.04,4.02,589
Devontae Booker,DEN,RB,27,3,12.11,142.8,15.3,8.06,15.06,283
Kenyan Drake,MIA,RB,25,3,3.12,35.5,4.5,2.04,4.12,857
Jordan Howard,PHI,RB,25,3,2.04,15.9,2.5,1.08,2.11,671
Peyton Barber,TBB,RB,25,3,6.1,70.2,9.3,3.12,9.04,853
Will Fuller,HOU,WR,25,3,6.08,67.6,6.5,4.02,8.08,503
Josh Doctson,WAS,WR,27,3,14.01,156.5,15.2,9.06,16.03,160
Michael Thomas,NOS,WR,26,3,2.06,18.1,2.5,1.1,3.06,739
Sterling Shepard,NYG,WR,26,3,10.1,118.2,10.2,6.03,12.09,385
Geronimo Allison,GBP,WR,25,3,13.08,151.7,13.7,8.01,15.06,223
Austin Hooper,ATL,TE,25,3,14.01,157.1,17.5,10.04,15.12,35
Tyreek Hill,KCC,WR,25,3,3.04,27.9,3.6,2.01,4.03,695
Rob Kelley,WAS,RB,27,3,13.07,151.2,19.5,8.06,16.08,101
Robby Anderson,NYJ,WR,26,3,8.04,87.8,8.5,4.01,10.04,547
Wil Lutz,NOS,K,25,3,14.04,159.9,5,12.03,15.11,136
Deshaun Watson,HOU,QB,24,2,4.06,42.4,7.1,2.01,6.06,406
Mitchell Trubisky,CHI,QB,25,2,14.03,159.2,14.2,9.07,16.06,86
Patrick Mahomes,KCC,QB,24,2,10.08,115.8,10,6.09,12.1,496
Dalvin Cook,MIN,RB,24,2,2.01,13.2,2,1.06,2.08,690
Leonard Fournette,JAC,RB,24,2,1.08,7.8,1.7,1.01,2.01,708
Christian McCaffrey,CAR,RB,23,2,2.02,14,2,1.07,2.1,736
Joe Mixon,CIN,RB,23,2,2.09,20.8,2.9,2.01,3.06,632
Alvin Kamara,NOS,RB,23,2,1.07,6.8,1.6,1.01,1.12,642
D'Onta Foreman,HOU,RB,23,2,13.12,155.8,19.9,8.02,16.03,92
Corey Clement,PHI,RB,25,2,10.08,116.4,11.4,7.01,12.11,337
Kareem Hunt,CLE,RB,24,2,1.1,10,1.9,1.04,2.04,711
Jamaal Williams,GBP,RB,24,2,5.07,55.1,7.1,3.05,7.07,784
James Conner,PIT,RB,24,2,13.11,154.9,17.2,5.03,16.06,320
Corey Davis,TEN,WR,24,2,6.05,64.6,5.4,3.12,7.1,572
Mike Williams,LAC,WR,25,2,9.04,99.8,7.9,6.03,10.09,475
John Ross,CIN,WR,24,2,13.1,154.2,17.4,5.1,15.12,298
JuJu Smith-Schuster,PIT,WR,23,2,4.04,40.4,4.5,1.04,5.1,569
Dede Westbrook,JAC,WR,26,2,14.04,160.1,18.4,1.11,15.11,144
Chris Godwin,TBB,WR,23,2,13.02,146.3,17.5,6.02,15.12,228
Cooper Kupp,LAR,WR,26,2,8.09,92.6,8.6,5.09,10.04,483
O.J. Howard,TBB,TE,25,2,13.1,153.6,20.4,7.11,16.02,271
Evan Engram,NYG,TE,25,2,7.01,72.8,7.9,4.12,8.08,329
David Njoku,CLE,TE,23,2,9.06,102.5,13.3,5.01,12.11,434
Marlon Mack,IND,RB,23,2,7.12,84.3,8.9,4.09,9.08,476
Kenny Golladay,DET,WR,26,2,11.05,124.5,10.7,6.06,12.12,294
Tarik Cohen,CHI,RB,24,2,8.12,95.6,8.8,5.04,10.11,252
George Kittle,SFO,TE,26,2,11.09,128.7,15.9,6.12,15.02,572
Jake Elliott,PHI,K,24,2,14.08,164.4,8.6,10.1,15.12,131
Aaron Jones,GBP,RB,25,2,8.03,87.5,7.4,6.01,9.11,429
Harrison Butker,KCC,K,24,2,14.11,167.1,7.6,12.05,16.07,129
Chris Carson,SEA,RB,25,2,6.01,60.6,6.6,3.04,7.11,695
Matt Breida,SFO,RB,24,2,12.1,141.7,22.5,1.01,15.12,503
Ricky Seals-Jones,ARI,TE,24,2,14.07,163,14.3,11.05,16.01,58
Austin Ekeler,LAC,RB,24,2,14.04,160.3,16.8,9.08,16.1,136
Keelan Cole,JAC,WR,26,2,12.03,135,15.3,6.03,15.1,445
Sam Darnold,NYJ,QB,22,1,14.1,165.5,12.6,11.12,15.12,21
Saquon Barkley,NYG,RB,22,1,1.06,5.8,1.5,1.01,1.12,592
Ronald Jones,TBB,RB,22,1,8.04,87.5,10.4,4.08,10.02,246
Sony Michel,NEP,RB,24,1,7.07,79.4,8.7,5.02,9.04,580
Rashaad Penny,SEA,RB,23,1,7.02,73.6,8.7,4.01,9.01,418
Nick Chubb,CLE,RB,24,1,10.03,111.3,10.7,7.01,12.06,277
Kerryon Johnson,DET,RB,22,1,5.05,52.8,6.2,3.04,6.11,545
Royce Freeman,DEN,RB,23,1,3.06,29.6,4.1,2.01,4.07,754
John Kelly,LAR,RB,23,1,14.05,161.3,13.7,12.03,16.08,35
Calvin Ridley,ATL,WR,25,1,11.01,121,9.6,7.03,12.08,245
Courtland Sutton,DEN,WR,24,1,14.09,164.7,15,10.11,16.12,82
Christian Kirk,ARI,WR,23,1,14.1,166.1,11.2,12.06,15.12,45
D.J. Moore,CAR,WR,22,1,10.11,119.4,9.5,6.1,12.06,253
Anthony Miller,CHI,WR,25,1,13.06,150.4,13.7,10.02,15.11,177
Michael Gallup,DAL,WR,23,1,11.12,132,9.4,9.03,14.12,274
Mike Gesicki,MIA,TE,24,1,14.09,164.5,17.4,9.03,16.03,28
Daniel Carlson,OAK,K,24,1,14.12,168.2,27.4,1.02,16.07,85
Jordan Wilkins,IND,RB,25,1,13.03,147.4,15.8,9.04,15.12,360
