Yahoo-ID,Player,Team,Position,Proj-Value,AAV,Percent-Drafted,ADP,Avg-Round,Percent-Drafted
26644,Tyler Eifert,Cin,TE,$1 ,0,0%,120.6,12.5,2%
31008,Ronald Jones II,TB,RB,$5 ,1.4,63%,120.7,13.9,45%
23997,Demaryius Thomas,NE,WR,$0 ,1,1%,120.9,12.7,3%
8826,DeSean Jackson,Phi,WR,$6 ,2.3,16%,121.6,13,37%
31041,Royce Freeman,Den,RB,$7 ,1.2,96%,122.3,14,75%
26813,Rex Burkhead,NE,RB,$1 ,1,1%,122.7,13.1,3%
29369,Dak Prescott,Dal,QB,$7 ,1.2,78%,122.8,13.9,68%
24830,Kyle Rudolph,Min,TE,$3 ,1.2,91%,122.8,13.8,86%
8285,Greg Olsen,Car,TE,$1 ,1.1,85%,122.8,13.8,84%
27585,Carlos Hyde,KC,RB,$1 ,1.8,18%,122.9,13.3,30%
31888,Mecole Hardman,KC,WR,$1 ,1.7,18%,122.9,13.5,22%
7520,Robbie Gould,SF,K,$0 ,1,96%,122.9,13.7,93%
31077,Chris Herndon,NYJ,TE,$6 ,1.4,99%,123.1,13.6,96%
new-orleans,New Orleans,NO,DEF,$0 ,1,95%,123.2,13.9,85%
6763,Philip Rivers,LAC,QB,$6 ,1.2,98%,123.6,13.8,92%
kansas-city,Kansas City,KC,DEF,$0 ,1,3%,123.9,12.9,18%
31002,Lamar Jackson,Bal,QB,$6 ,1.5,95%,124.1,13.8,91%
30202,D'Onta Foreman,Hou,RB,$1 ,1.2,5%,124.2,13.2,14%
28465,Duke Johnson Jr.,Cle,RB,$1 ,1.3,1%,124.6,13.1,4%
28514,Mike Davis,Chi,RB,$1 ,1.1,6%,124.6,13.1,35%
31021,Anthony Miller,Chi,WR,$7 ,1.1,61%,124.7,14.8,32%
31847,Dwayne Haskins,Was,QB,$0 ,2,1%,125,13.1,3%
31075,Antonio Callaway,Cle,WR,$1 ,1.5,1%,125.3,13.3,2%
31896,DK Metcalf,Sea,WR,$1 ,2,12%,125.5,13.4,30%
31857,Marquise Brown,Bal,WR,$0 ,1.3,7%,125.5,13.4,16%
30973,Sam Darnold,NYJ,QB,$1 ,1,6%,125.6,15,3%
detroit,Detroit,Det,DEF,$0 ,1,1%,125.7,13.5,2%
30153,Curtis Samuel,Car,WR,$7 ,1.2,41%,126,14.5,26%
new-england,New England,NE,DEF,$0 ,1,85%,126,14.1,74%
carolina,Carolina,Car,DEF,$0 ,1,1%,126.2,13.5,2%
31135,Jaylen Samuels,Pit,RB,$1 ,1.3,7%,126.3,13.7,12%
pittsburgh,Pittsburgh,Pit,DEF,$0 ,1,7%,126.3,13.4,18%
25793,Mohamed Sanu,Atl,WR,$1 ,1.3,2%,126.7,13.6,5%
30423,Austin Ekeler,LAC,RB,$1 ,1.9,5%,126.8,13.5,16%
31051,Michael Gallup,Dal,WR,$7 ,1.4,22%,127,14.5,15%
31144,Marquez Valdes-Scantling,GB,WR,$3 ,2.6,8%,127.1,13.6,15%
31601,Robert Foster,Buf,WR,$1 ,2.7,4%,127.1,14.7,2%
28429,Devin Funchess,Ind,WR,$5 ,1.7,11%,127.3,13.5,29%
27618,Donte Moncrief,Pit,WR,$1 ,1.6,5%,127.3,13.5,13%
31919,Damien Harris,NE,RB,$1 ,2.8,3%,127.3,13.5,8%
24070,Jimmy Graham,GB,TE,$1 ,1.1,64%,127.4,14.2,63%
indianapolis,Indianapolis,Ind,DEF,$0 ,1.1,4%,127.5,13.7,7%
25812,Kirk Cousins,Min,QB,$1 ,1,9%,127.6,13.6,22%
31030,James Washington,Pit,WR,$1 ,1,2%,127.8,13.5,7%
28691,Tyrell Williams,Oak,WR,$1 ,1.7,6%,127.8,13.6,15%
26878,C.J. Anderson,Det,RB,$1 ,3.3,2%,127.8,13.6,5%
31074,Nyheim Hines,Ind,RB,$1 ,2,6%,127.9,13.5,19%
philadelphia,Philadelphia,Phi,DEF,$0 ,1.1,10%,127.9,13.7,17%
29719,Geronimo Allison,GB,WR,$3 ,1.6,7%,128.1,14,8%
denver,Denver,Den,DEF,$0 ,1.1,31%,128.3,14,39%
29560,Peyton Barber,TB,RB,$1 ,1.2,8%,128.5,13.9,12%
30247,Jamaal Williams,GB,RB,$1 ,1,1%,128.6,14,2%
31083,DaeSean Hamilton,Den,WR,$4 ,2.8,2%,128.9,13.8,3%
31096,Ito Smith,Atl,RB,$4 ,1.2,37%,128.9,15.6,17%
29070,Adam Humphries,Ten,WR,$1 ,1,1%,128.9,13.5,4%
31906,Devin Singletary,Buf,RB,$1 ,2.5,4%,129,14.1,6%
26561,Josh Gordon,NE,WR,$0 ,1.3,4%,129,13.9,7%
28402,DeVante Parker,Mia,WR,$1 ,1.2,2%,129.1,13.6,4%
dallas,Dallas,Dal,DEF,$0 ,3.6,11%,129.1,13.8,21%
tennessee,Tennessee,Ten,DEF,$0 ,1,1%,129.2,13.6,3%
31100,Kalen Ballage,Mia,RB,$1 ,1,3%,129.3,14.5,2%
31891,Parris Campbell,Ind,WR,$1 ,6.7,6%,129.7,14.3,6%
26701,Marquise Goodwin,SF,WR,$5 ,1.7,8%,129.8,14.2,10%
30552,Matt Breida,SF,RB,$4 ,1.3,73%,129.8,15.4,38%
